State,Party,Seats_Won
Andhra Pradesh,Telugu Desam Party,135
Andhra Pradesh,JnP,21
Andhra Pradesh,YSR Congress Party,7
Andhra Pradesh,BJP,5
Andhra Pradesh,Congress,3
Odisha,Bharatiya Janata Party,78
Odisha,Biju Janata Dal,51
Odisha,Congress,3
Odisha,CPI,2
Odisha,NCP,1
Arunachal Pradesh,Bharatiya Janata Party,46
Arunachal Pradesh,NPEP,5
Arunachal Pradesh,Independent,3
Arunachal Pradesh,NCP,3
Arunachal Pradesh,PPA,2
Sikkim,Sikkim Krantikari Morcha,31
Sikkim,SDF,1
Sikkim,Independent,0
Sikkim,Congress,0
Sikkim,BJP,0
